regional_geocode,pop,state,pop_max,pop_norm
11005,131385,RO,558625.0,0.23519355560528082
11001,219617,RO,558625.0,0.39313850973372116
11006,150724,RO,558625.0,0.2698124860147684
11002,174158,RO,558625.0,0.3117619154173193
11007,40118,RO,558625.0,0.07181561870664578
11004,558625,RO,558625.0,1.0
11003,341752,RO,558625.0,0.6117735511300068
50001,1549444,MS,1549444.0,1.0
50003,869992,MS,1549444.0,0.5614865719574247
13009,264407,AM,2391219.0,0.11057414649181024
13001,2391219,AM,2391219.0,1.0
13005,232675,AM,2391219.0,0.09730392741108196
12002,523732,AC,523732.0,1.0
12001,70821,AC,523732.0,0.13522374038630444
12003,235227,AC,523732.0,0.44913619943024297
13008,140143,AM,2391219.0,0.058607346294923215
13002,275393,AM,2391219.0,0.11516845592143589
13003,197592,AM,2391219.0,0.08263233104119698
13006,142594,AM,2391219.0,0.059632346514476506
13007,128362,AM,2391219.0,0.05368057045381456
13004,179877,AM,2391219.0,0.07522397572116983
15011,709854,PA,2084212.0,0.34058627433293737
15003,935087,PA,2084212.0,0.4486525363062875
15001,477554,PA,2084212.0,0.2291292824338407
15002,864967,PA,2084212.0,0.4150091257511232
15012,395787,PA,2084212.0,0.18989766875922412
15014,348021,PA,2084212.0,0.16697965466085024
15006,2084212,PA,2084212.0,1.0
15009,513940,PA,2084212.0,0.2465871993827883
15008,883326,PA,2084212.0,0.42381773063392786
15010,274790,PA,2084212.0,0.1318435936459439
15004,335023,PA,2084212.0,0.16074324492901873
15007,366731,PA,2084212.0,0.1759566685154869
15013,253670,PA,2084212.0,0.12171026747758865
14001,548335,RR,548335.0,1.0
17005,179235,TO,410790.0,0.43631782662674357
17003,89979,TO,410790.0,0.21903892499817426
21008,538362,MA,1526896.0,0.35258589976003607
21019,261566,MA,1526896.0,0.17130570778887363
21005,279679,MA,1526896.0,0.18316833628485502
25010,113545,PB,1391802.0,0.08158128814299735
24002,450030,RN,1263314.0,0.35622972594303554
31093,76874,MG,3292954.0,0.023344996620056034
35065,156807,SP,12200180.0,0.012852843154773126
17002,200070,TO,410790.0,0.4870371722778062
17004,152737,TO,410790.0,0.3718128484140315
14002,86470,RR,548335.0,0.15769556931437897
17007,126516,TO,410790.0,0.30798218067625793
17006,410790,TO,410790.0,1.0
51002,1113003,MT,1113003.0,1.0
51010,72552,MT,1113003.0,0.0651858081245064
16001,530034,AP,530034.0,1.0
16002,60649,AP,530034.0,0.11442473501699892
16003,183585,AP,530034.0,0.3463645728387236
21011,391238,MA,1526896.0,0.25623094172753086
17001,301961,TO,410790.0,0.7350738820321819
17008,123018,TO,410790.0,0.29946688088804496
24001,378974,RN,1263314.0,0.2999840103093926
51014,551656,MT,1113003.0,0.4956464627678452
51007,244592,MT,1113003.0,0.21975861700282928
51005,142540,MT,1113003.0,0.12806793872074018
51015,110064,MT,1113003.0,0.09888922132285358
52001,1872683,GO,1872683.0,1.0
52012,207458,GO,1872683.0,0.11078116264204886
52017,266478,GO,1872683.0,0.1422974416919468
41010,581990,PR,3742171.0,0.1555220218424011
41002,3742171,PR,3742171.0,1.0
21001,258362,MA,1526896.0,0.1692073330469135
21014,342740,MA,1526896.0,0.22446846412591295
21003,231699,MA,1526896.0,0.1517451090316564
52015,432079,GO,1872683.0,0.23072725068791675
52008,132152,GO,1872683.0,0.07056827023046613
41007,287428,PR,3742171.0,0.07680782091465088
41013,159313,PR,3742171.0,0.04257234637326835
21006,351268,MA,1526896.0,0.23005365132923264
21016,1526896,MA,1526896.0,1.0
21002,254558,MA,1526896.0,0.1667160042334252
21007,280817,MA,1526896.0,0.18391363917385337
21009,349912,MA,1526896.0,0.2291655751275791
21004,226084,MA,1526896.0,0.14806771384560571
21013,286338,MA,1526896.0,0.18752947155536462
24005,189502,RN,1263314.0,0.15000387868732556
21018,255905,MA,1526896.0,0.16759818612400582
21015,235759,MA,1526896.0,0.15440409824899665
21010,206569,MA,1526896.0,0.13528688266915362
41015,930490,PR,3742171.0,0.24864978110300143
21012,272627,MA,1526896.0,0.1785498160974945
22009,363707,PI,1244584.0,0.29223178186446236
24006,241762,RN,1263314.0,0.19137126636766472
25004,105432,PB,1391802.0,0.0757521544012726
29021,308712,BA,3133506.0,0.09851967731990939
29006,1187745,BA,3133506.0,0.3790466653007845
29024,294149,BA,3133506.0,0.09387216746992028
21017,250226,MA,1526896.0,0.16387887583699218
27007,509828,AL,1250904.0,0.40756764707763343
41018,214293,PR,3742171.0,0.057264352697939246
41019,299529,PR,3742171.0,0.08004150531870403
41012,289865,PR,3742171.0,0.07745904716807436
41006,164120,PR,3742171.0,0.04385689483457597
41022,136236,PR,3742171.0,0.036405605195486794
41021,179380,PR,3742171.0,0.04793474162458103
41020,425785,PR,3742171.0,0.11378020940250994
41008,371437,PR,3742171.0,0.09925708899994148
41004,165565,PR,3742171.0,0.044243034324193097
31006,243182,MG,3292954.0,0.07384919437076862
22008,106758,PI,1244584.0,0.08577805917479255
41017,986527,PR,3742171.0,0.26362424378789745
41009,445448,PR,3742171.0,0.11903464593146598
22004,1244584,PI,1244584.0,1.0
41005,463694,PR,3742171.0,0.123910425258493
41001,315144,PR,3742171.0,0.08421421682761157
41003,675714,PR,3742171.0,0.1805673765308961
22010,102351,PI,1244584.0,0.08223711698045291
41011,342594,PR,3742171.0,0.09154953100753546
22007,52185,PI,1244584.0,0.04192967288668342
22003,400760,PI,1244584.0,0.32200317535819195
22002,195784,PI,1244584.0,0.15730878751454302
22011,202781,PI,1244584.0,0.16293074633773214
22006,150890,PI,1244584.0,0.12123729696026946
22001,158788,PI,1244584.0,0.12758319245627456
43014,231965,RS,2235272.0,0.10377484261423219
22005,291586,PI,1244584.0,0.2342839053049051
28006,337640,SE,818113.0,0.41270582425655133
41016,387019,PR,3742171.0,0.10342098209835948
23009,190320,CE,2822811.0,0.06742215472449271
42003,205250,SC,1426392.0,0.14389452548808462
42004,310208,SC,1426392.0,0.2174773834962619
42001,241975,SC,1426392.0,0.16964130477456407
42012,368363,SC,1426392.0,0.25824808327584564
42013,296677,SC,1426392.0,0.20799121139209978
42006,818309,SC,1426392.0,0.573691523788692
42016,386545,SC,1426392.0,0.27099492986500207
42002,404112,SC,1426392.0,0.283310618679858
42010,154591,SC,1426392.0,0.1083790430681047
42011,1124527,SC,1426392.0,0.7883716397736387
42008,192714,SC,1426392.0,0.13510591758787205
42007,1426392,SC,1426392.0,1.0
23012,244232,CE,2822811.0,0.0865208474814644
23018,284362,CE,2822811.0,0.10073717298111705
23014,108117,CE,2822811.0,0.03830118275718778
23006,305761,CE,2822811.0,0.1083179143059879
23017,159484,CE,2822811.0,0.056498291950824904
42005,854561,SC,1426392.0,0.5991066971772135
42015,468723,SC,1426392.0,0.3286074234852691
42009,288553,SC,1426392.0,0.2022957223540233
23019,208036,CE,2822811.0,0.07369816824434934
27010,148518,AL,1250904.0,0.11872853552310969
23003,500942,CE,2822811.0,0.17746211134928977
23011,643324,CE,2822811.0,0.22790190345722758
23020,334591,CE,2822811.0,0.11853113793307452
42014,220654,SC,1426392.0,0.154693800862596
23010,216049,CE,2822811.0,0.0765368280058424
23002,636924,CE,2822811.0,0.2256346599187831
23001,2822811,CE,2822811.0,1.0
23007,128716,CE,2822811.0,0.04559851863975307
23016,153623,CE,2822811.0,0.0544219928291338
23015,290296,CE,2822811.0,0.10283933284941854
23004,130177,CE,2822811.0,0.0461160878287636
23021,437268,CE,2822811.0,0.1549051636825845
23008,304708,CE,2822811.0,0.1079448818925532
23013,322293,CE,2822811.0,0.11417448777123229
23022,329377,CE,2822811.0,0.11668404296284803
43021,822661,RS,2235272.0,0.36803619425286943
43016,235806,RS,2235272.0,0.10549320172220651
43004,176528,RS,2235272.0,0.07897383405688435
43009,374519,RS,2235272.0,0.16754963154372265
43027,187115,RS,2235272.0,0.08371017039537022
43022,177615,RS,2235272.0,0.07946012834232255
43018,133770,RS,2235272.0,0.05984506583538827
43012,144899,RS,2235272.0,0.06482387825732171
43024,96660,RS,2235272.0,0.043243059457640946
43029,234051,RS,2235272.0,0.10470806237451191
43002,117641,RS,2235272.0,0.05262938917500868
43011,277126,RS,2235272.0,0.12397864778872549
43006,221462,RS,2235272.0,0.0990760855949522
43019,111648,RS,2235272.0,0.049948283698807126
43028,339548,RS,2235272.0,0.15190455568718259
43017,431211,RS,2235272.0,0.19291209302492046
23005,185020,CE,2822811.0,0.06554459366921837
24004,296550,RN,1263314.0,0.23473974008045506
24008,146944,RN,1263314.0,0.11631629191159126
